ID,date,date_code,ventilator,pestfield,COORD_X,COORD_Y
79,Before 1851,1,0,0,  529435.523633899167180,  181131.678764547803439
80,Before 1851,1,0,0,  529425.928659299388528,  181126.285507179389242
81,Before 1851,1,0,0,  529437.793792198994197,  181116.744246472720988
82,Before 1851,1,0,0,  529451.543712686048821,  181099.982008775696158
83,Before 1851,1,0,0,  529449.535648594726808,  181104.625429368519690
84,Before 1851,1,1,0,  529483.077497013378888,  181242.461976412101649
85,Before 1851,1,1,0,  529506.451973244664259,  181071.832299866771791
86,Before 1851,1,1,0,  529452.625173697597347,  181175.543941054726020
87,Before 1851,1,1,0,  529378.159853055491112,  181315.272897587739863
88,Before 1851,1,1,0,  529429.847102924948558,  181034.032493342412636
89,Before 1851,1,0,0,  529473.347515029599890,  180987.726319056760985
90,Before 1851,1,1,0,  529206.901615121634677,  181050.906051112688147
91,Before 1851,1,1,0,  529246.644181893207133,  180994.229758864734322
92,Before 1851,1,1,0,  529398.608915181248449,  180738.505565585044678
93,Before 1851,1,1,0,  529437.979607366374694,  180783.586805831466336
94,Before 1851,1,1,0,  529151.355076458770782,  181014.068501201574691
95,Before 1851,1,1,0,  529219.916251480113715,  180970.993057503248565
96,Before 1851,1,1,0,  529140.694333265651949,  181092.192505855113268
97,Before 1851,1,1,0,  529118.257099492708221,  180990.892343026876915
98,Before 1851,1,0,0,  529374.664486652589403,  180717.608218021341600
99,Before 1851,1,1,0,  529359.180548581643961,  180711.948955364350695
100,Before 1851,1,0,0,  529260.821549909887835,  181140.971182493085507
101,Before 1851,1,0,0,  529524.162507330533117,  180972.708068433683366
102,Before 1851,1,0,0,  529529.625530454446562,  180972.678952736780047
103,Before 1851,1,0,0,  529540.918489234056324,  180945.862545487703755
104,Before 1851,1,0,0,  529547.923929092707112,  180951.259942531294655
105,Before 1851,1,0,0,  529549.672164434683509,  180948.610916595323943
106,Before 1851,1,0,0,  529554.868513706838712,  180992.009165902389213
107,Before 1851,1,0,0,  529557.756354844430462,  180994.102976738999132
108,Before 1851,1,0,0,  529574.925809217267670,  180971.645185182744171
109,Before 1851,1,0,0,  529611.570330279995687,  180988.741153305920307
110,Before 1851,1,0,0,  529609.262872687075287,  180992.722692661103792
111,Before 1851,1,0,0,  529611.467060245224275,  181001.028029570064973
112,Before 1851,1,0,0,  529616.632295473362319,  181000.318016150267795
113,Before 1851,1,0,0,  529621.377631742041558,  180999.597298218926881
114,Before 1851,1,0,0,  529651.992990926140919,  181022.432033021585084
115,Before 1851,1,0,0,  529549.399852758971974,  181049.950294722279068
116,Before 1851,1,0,0,  529522.505046401289292,  181050.106520595552865
117,Before 1851,1,0,0,  529517.819801933714189,  181048.471969042846467
118,Before 1851,1,0,0,  529655.311650297837332,  180778.767854602134321
119,Before 1851,1,0,0,  529661.997754521784373,  180779.916794949851464
120,Before 1851,1,0,0,  529647.384573727846146,  180926.119538017839659
121,Before 1851,1,0,0,  529631.663942570216022,  180948.474361409724224
122,Before 1851,1,0,0,  529626.361582245794125,  180955.494300715916324
123,Before 1851,1,0,0,  529635.047593825496733,  180956.419642154127359
124,Before 1851,1,0,0,  529637.223926427774131,  180957.178944524319377
125,Before 1851,1,0,0,  529521.784700379590504,  180779.717465961002745
126,Before 1851,1,0,0,  529518.347547594690695,  180775.949410606641322
127,Before 1851,1,0,0,  529503.654804829275236,  180770.195873576682061
128,Before 1851,1,0,0,  529535.878012184053659,  180757.002956461394206
129,Before 1851,1,0,0,  529527.636446984484792,  180744.194401516404469
130,Before 1851,1,0,0,  529533.190414646058343,  180744.619059111108072
131,Before 1851,1,0,0,  529484.649038559757173,  180948.637331725156400
132,Before 1851,1,0,0,  529501.171398774138652,  180918.587095825700089
133,Before 1851,1,0,0,  529518.362265144241974,  180895.287915140739642
134,Before 1851,1,0,0,  529522.847058749874122,  180974.863084273296408
135,Before 1851,1,0,0,  529109.678244071197696,  181240.224050834658556
136,Before 1851,1,0,0,  529063.994188882177696,  181233.143461311992723
137,Before 1851,1,0,0,  529129.174074962968007,  181242.199441509612370
138,Before 1851,1,0,0,  529189.431549029890448,  181267.238881978555582
139,Before 1851,1,0,0,  529199.150809693732299,  181255.117392019368708
140,Before 1851,1,0,0,  529264.045897997450083,  181271.549699697410688
141,Before 1851,1,0,0,  529262.023245908436365,  181284.470189510087948
142,Before 1851,1,0,0,  529310.606884831329808,  181298.376514392846730
143,Before 1851,1,0,0,  529314.149796835263260,  181284.891378574073315
144,Before 1851,1,0,0,  529324.395524338702671,  181289.073865618731361
145,Before 1851,1,0,0,  529339.224880686379038,  181305.439964614750352
146,Before 1851,1,0,0,  529370.863946383120492,  181319.518976877443492
147,Before 1851,1,0,0,  529378.341819548513740,  181321.519399126118515
148,Before 1851,1,0,0,  529377.831163288326934,  181304.612691347312648
149,Before 1851,1,0,0,  529395.512484331033193,  181319.844882466597483
150,Before 1851,1,0,0,  529400.537371441023424,  181307.302554153255187
151,Before 1851,1,0,0,  529520.751230105292052,  180683.743497671617661
152,Before 1851,1,0,0,  529526.925435197190382,  180688.154608917189762
153,Before 1851,1,0,0,  529585.323692787904292,  180666.135490207350813
154,Before 1851,1,0,0,  529584.756543840281665,  180671.941981972660869
155,Before 1851,1,0,0,  529612.579679275164381,  180660.113985638890881
156,Before 1851,1,0,0,  529604.208297979319468,  180670.646888760034926
157,Before 1851,1,0,0,  529611.239922484150156,  180679.781507161038462
158,Before 1851,1,0,0,  529620.203627558308654,  180678.890682251483668
159,Before 1851,1,0,0,  529678.328365192399360,  180859.896266948140692
160,Before 1851,1,0,0,  529676.810284005827270,  180874.067234351590741
161,Before 1851,1,0,0,  529682.638679568422958,  180877.305016508675180
162,Before 1851,1,0,0,  529690.026696208398789,  180874.816347230924293
163,Before 1851,1,0,0,  529692.314814338926226,  180870.755980971618555
164,Before 1851,1,0,0,  529672.780147456680425,  181028.766423477791250
165,Before 1851,1,0,0,  529671.840560311451554,  181037.730211958871223
166,Before 1851,1,0,0,  529697.113833352108486,  181040.906902963644825
167,Before 1851,1,0,0,  529695.586480815429240,  181045.045335889037233
168,Before 1851,1,0,0,  529189.684574558283202,  180877.923126175242942
169,Before 1851,1,0,0,  529212.520278787822463,  180845.449631687428337
170,Before 1851,1,0,0,  529267.267372616683133,  180770.859057225345168
171,Before 1851,1,0,0,  529265.438871906721033,  180774.300162984349299
172,Before 1851,1,0,0,  529256.717437745886855,  180774.950257015181705
173,Before 1851,1,0,0,  529237.263014492695220,  180752.657970260479487
174,Before 1851,1,0,0,  529234.782080957083963,  180756.082496502378490
175,Before 1851,1,0,0,  529243.446274844231084,  180766.242500415362883
176,Before 1851,1,0,0,  529320.370406885864213,  180696.714218504668679
177,Before 1851,1,0,0,  529316.108971051871777,  180698.190046582079958
178,Before 1851,1,0,0,  529305.745932752732188,  180702.823173064971343
179,Before 1851,1,0,0,  529289.843662548577413,  180699.106103772879578
180,Before 1851,1,0,0,  529285.763349099666812,  180689.928866881469730
181,Before 1851,1,0,0,  529282.662151242373511,  180691.722281501570251
182,Before 1851,1,0,0,  529371.470044833957218,  180722.394830072764307
183,Before 1851,1,0,0,  529360.698743624729104,  180716.034891339251772
184,Before 1851,1,0,0,  529352.518311460153200,  180713.454767632996663
185,Before 1851,1,0,0,  529104.030292741721496,  181171.752501181501430
186,Before 1851,1,0,0,  529098.248193542938679,  181169.138894074247219
187,Before 1851,1,0,0,  529061.850204963586293,  181141.820519507164136
188,Before 1851,1,0,0,  529059.424116409150884,  181146.445666102110408
189,Before 1851,1,0,0,  529044.200578598421998,  181151.979190023732372
190,Before 1851,1,0,0,  529038.966618711012416,  181176.266769288456999
191,Before 1851,1,0,0,  529023.981025435263291,  181172.432873801444657
192,Before 1851,1,0,0,  529020.006091729272157,  181159.258365478541236
193,Before 1851,1,0,0,  529018.101407263660803,  181167.596840091864578
194,Before 1851,1,0,0,  529047.131909287767485,  181103.212661139434204
195,Before 1851,1,0,0,  529067.359930680599064,  181064.258904957387131
196,Before 1851,1,0,0,  529077.716232539387420,  181074.635467348387465
197,Before 1851,1,0,0,  529118.214325383305550,  181001.169401433842722
198,Before 1851,1,0,0,  529102.333944326965138,  181002.245993782591540
199,Before 1851,1,0,0,  529117.949050112511031,  180975.262141462881118
200,Before 1851,1,0,0,  529130.185307416133583,  180978.286419346171897
201,Before 1851,1,0,0,  529179.513210287201218,  180866.317688546201680
202,Before 1851,1,0,0,  529356.645287004765123,  181199.098259198071901
203,Before 1851,1,0,0,  529356.737419154029340,  181187.014796733215917
204,Before 1851,1,0,0,  529420.493684397428297,  181234.218886303191539
205,Before 1851,1,0,0,  529424.889947949326597,  181235.021469152241480
206,Before 1851,1,0,0,  529419.204036149778403,  181221.409609492693562
207,Before 1851,1,0,0,  529431.683191632037051,  181230.532816394406836
208,Before 1851,1,0,0,  529480.228610135614872,  181253.178665037325118
209,Before 1851,1,0,0,  529474.711864826502278,  181254.074030692747328
210,Before 1851,1,0,0,  529472.686265495605767,  181249.015438979316968
211,Before 1851,1,0,0,  529473.105942244990729,  181245.227730923215859
212,Before 1851,1,0,0,  529446.227843642001972,  181183.941257403464988
213,Before 1851,1,0,0,  529450.404441392980516,  181184.910919724381529
214,Before 1851,1,0,0,  529455.525795674417168,  181182.624216317955870
215,Before 1851,1,0,0,  529457.780006660846993,  181178.710586814151611
216,Before 1851,1,0,0,  529446.509128160891123,  181172.898533296829555
217,Before 1851,1,0,0,  529444.470235561602749,  181176.817652091849595
218,Before 1851,1,0,0,  529506.141730710747652,  181087.998343899380416
219,Before 1851,1,0,0,  529508.665994676295668,  181082.995437484176364
220,Before 1851,1,0,0,  529559.251176074612886,  181099.077855888113845
221,Before 1851,1,0,0,  529562.404458688921295,  181103.408186625340022
222,Before 1851,1,0,0,  529566.811296596308239,  181096.573521492944565
223,Before 1851,1,0,0,  529551.006294441409409,  181129.069287509482820
224,Before 1851,1,0,0,  529568.034606857225299,  181139.137182317441329
225,Before 1851,1,0,0,  529598.412201063241810,  181159.908140242390800
226,Before 1851,1,0,0,  529613.856324649997987,  181168.602168395940680
227,Before 1851,1,0,0,  529629.553877497673966,  181177.510214048554190
228,Before 1851,1,0,0,  529513.007299005053937,  181188.577858513686806
229,Before 1851,1,0,0,  529513.424569598864764,  181197.566532945726067
230,Before 1851,1,0,0,  529517.840726549387909,  181193.362718347460032
231,Before 1851,1,0,0,  529501.819763203151524,  181196.407516070234124
232,Before 1851,1,0,0,  529495.085701196105219,  181202.796787897998001
233,Before 1851,1,0,0,  529507.760527145816013,  181200.012002905306872
234,Before 1851,1,0,0,  529497.864886872353964,  181207.874591694737319
235,Before 1851,1,0,0,  529263.901582270162180,  181135.273410904337652
236,Before 1851,1,0,0,  529210.217642988543957,  181119.750542763154954
237,Before 1851,1,0,0,  529210.761979794362560,  181106.815320315014105
238,Before 1851,1,0,0,  529205.284255184931681,  181097.698033818975091
239,Before 1851,1,0,0,  529174.171360985026695,  181103.799224087386392
240,Before 1851,1,0,0,  529188.001560540171340,  181099.156118265178520
241,Before 1851,1,0,0,  529176.366037442465313,  181099.193324066756759
242,Before 1851,1,0,0,  529143.101233308552764,  181096.017047311877832
243,Before 1851,1,0,0,  529141.181050390237942,  181008.062221460801084
244,Before 1851,1,0,0,  529158.638871277682483,  181007.839915630756877
245,Before 1851,1,0,0,  529154.166372424806468,  181008.059229410078842
246,Before 1851,1,0,0,  529193.781015290180221,  180957.621106775419321
247,Before 1851,1,0,0,  529197.077748457784764,  180958.703846043848898
248,Before 1851,1,0,0,  529203.713141312473454,  180951.047560763196088
249,Before 1851,1,0,0,  529202.992588239838369,  180946.700534932315350
250,Before 1851,1,0,0,  529235.235513574443758,  180908.395470806630328
251,Before 1851,1,0,0,  529267.639998915721662,  180871.926079780911095
252,Before 1851,1,0,0,  529406.124379649292678,  180713.958359582757112
253,Before 1851,1,0,0,  529412.341325663495809,  180711.206179035827518
254,Before 1851,1,0,0,  529403.673940207576379,  180700.463024304830469
255,Before 1851,1,0,0,  529403.876311773550697,  180708.975709192221984
256,Before 1851,1,0,0,  529475.975400291499682,  180735.886724857846275
257,Before 1851,1,0,0,  529478.989834174746647,  180738.202343052253127
258,Before 1851,1,0,0,  529500.849209386040457,  180702.714160738978535
259,Before 1851,1,0,0,  529504.356597858946770,  180702.131879599473905
260,Before 1851,1,0,0,  529484.318132499232888,  180693.561568294186145
261,Before 1851,1,0,0,  529490.084920486202464,  180697.514489581575617
262,Before 1851,1,0,0,  529578.748556189239025,  180743.207407584122848
263,Before 1851,1,0,0,  529578.227050579851493,  180747.224001712107565
264,Before 1851,1,0,0,  529345.521648551803082,  181200.196355477906764
265,Before 1851,1,0,0,  529348.830247597419657,  181188.712725579272956
266,Before 1851,1,0,0,  529326.473009323934093,  181186.762475342606194
267,Before 1851,1,0,0,  529298.253661629161797,  181169.642244678689167
268,Before 1851,1,0,0,  529300.197757413727231,  181156.742635951319244
269,1851,2,1,0,  529427.683122690417804,  180977.241057094361167
270,1851,2,1,0,  529562.342426117626019,  180812.977445081516635
271,1851,2,1,0,  529582.887617403292097,  180754.724411349103320
272,1851,2,1,0,  529398.607123465160839,  181019.489146737847477
273,1851,2,1,1,  529336.334616109030321,  180990.524543141829781
274,1851,2,0,0,  529155.076212985557504,  181017.746979962859768
275,1851,2,0,0,  529139.131352831842378,  181030.481515512103215
276,1851,2,0,0,  529138.954461860936135,  181037.442796847841237
277,1851,2,0,0,  529137.574272346100770,  181039.397947227931581
278,1851,2,0,0,  529599.318756238091737,  180766.916730517405085
279,1851,2,0,0,  529596.727837395155802,  180772.199982092133723
280,1851,2,0,0,  529573.322514612693340,  180794.657470815698616
281,1854,3,1,0,  529226.363455539452843,  181207.468694951967336
282,1854,3,1,0,  529154.084387317183428,  181177.712627249828074
283,1854,3,1,0,  529140.872346373856999,  181229.626081127091311
284,1854,3,1,0,  529269.144543949514627,  181230.757104095595423
285,1854,3,1,1,  529237.170266839209944,  181065.754621844331268
286,1854,3,1,1,  529276.449795922962949,  181085.717758778948337
287,1854,3,1,1,  529311.371069093351252,  181015.372310380567797
288,1854,3,0,0,  529614.284579832688905,  180892.576520859729499
289,1854,3,0,0,  529571.264538696734235,  180923.291976764332503
290,1854,3,1,0,  529409.531865361728705,  180948.512955995567609
291,1854,3,1,0,  529520.922245269757695,  180861.510882478440180
292,1854,3,1,0,  529492.317523516016081,  180833.913889592571650
293,1854,3,0,0,  529565.477561667677946,  180903.156232169480063
294,1854,3,1,0,  529631.927824651822448,  180831.756604444526602
295,1854,3,1,0,  529630.980370655190200,  180951.440815332753118
296,1854,3,0,0,  529100.376850808621384,  181069.284432022832334
297,1854,3,0,0,  529572.390915452735499,  180768.154499010066502
298,1854,3,0,0,  529095.078577579348348,  181073.946378486289177
299,1854,3,0,0,  529194.090129400137812,  181217.373637995508034
300,1854,3,0,0,  529185.574568176292814,  181216.746941392309964
301,1854,3,0,0,  529570.628690264187753,  180766.667125634325203
302,1854,3,0,0,  529561.062988872639835,  180786.308443779009394
303,1854,3,0,0,  529553.632309875683859,  180850.823112334182952
304,1854,3,0,0,  529530.181297224247828,  180802.315518296440132
305,1854,3,0,0,  529541.860164525685832,  180800.655569666996598
306,1854,3,0,0,  529565.832779950695112,  180877.225564589782152
307,1854,3,0,0,  529457.681321842712350,  180814.170705970143899
308,1854,3,0,0,  529458.512282118783332,  180811.090787930996157
309,1854,3,0,0,  529435.453185055404902,  180783.937339294003323
310,1854,3,0,0,  529482.572465020697564,  180835.334453010349534
311,1854,3,0,0,  529487.729410807136446,  180838.994301517726853
312,1854,3,0,0,  529545.003400438115932,  180785.796050166420173
313,1854,3,0,0,  529602.677508794120513,  180839.324356829631142
314,1854,3,0,0,  529610.327889723004773,  180842.917674127034843
315,1854,3,0,0,  529607.789467521361075,  180886.234395725536160
316,1854,3,0,0,  529620.832217657007277,  180828.171176185831428
317,1854,3,0,0,  529617.114752956083976,  180826.251497691788245
318,1854,3,0,0,  529640.530741003341973,  180835.411586295871530
319,1854,3,0,0,  529156.503042114782147,  181015.690411865711212
320,1854,3,0,0,  529638.549392651999369,  180840.976032999984454
321,1854,3,0,0,  529617.637795281480066,  180888.170050796761643
322,1854,3,0,0,  529255.111240374855697,  180930.348693051317241
323,1854,3,0,1,  529300.141720043378882,  180971.076416354510002
324,1854,3,0,0,  529216.287771984701976,  181173.511130571132526
325,1854,3,0,0,  529219.494581823004410,  181174.146118587406818
